lon,lat,n,geo,type
37.981,14.456,933,75,0
37.9836,14.4552,901,75,0
37.7737,14.3905,416,75,0
37.7735,14.3879,247,75,0
37.7729,14.3972,329,75,0
37.7715,14.3984,1195,75,0
37.5923,14.2282,118,75,0
37.8897,14.3267,749,75,0
38.9201,5.4503,341,75,0
36.3953,11.2607,258,75,0
38.1754,14.3129,3011,75,0
38.0209,14.1951,765,75,0
37.9865,14.4534,1526,75,0
37.7667,14.3926,1037,75,0
37.7775,14.3941,984,75,0
37.7661,14.3977,69,75,0
37.8204,14.3136,1020,75,0
37.6692,14.2607,108,75,0
37.7606,14.3984,122,75,0
37.7681,14.3883,90,75,0
38.2335,14.2274,158,75,0
38.1892,14.4187,889,75,0
37.7639,14.3861,1252,75,0
37.7711,14.3993,1938,75,0
37.7729,14.3997,1066,75,0
36.4249,11.0949,1730,75,0
36.3103,11.3304,464,75,0
36.2577,11.2845,1345,75,0
36.4069,11.3125,578,75,0
38.2493,5.3238,309,75,0
38.3812,5.3103,267,75,0
38.2965,5.3815,1089,75,0
38.2688,5.3948,1284,75,0
38.4702,5.2223,429,75,0
38.0627,6.1871,945,75,0
38.2838,6.3555,714,75,0
38.0626,6.1893,817,75,0
38.1395,6.3646,3180,75,0
35.5888,10.6601,412,75,0
36.2833,11.2418,80,75,0
36.2368,11.2941,254,75,0
38.1708,14.3152,1576,75,0
38.17,14.3176,584,75,0
38.2455,14.5184,130,75,0
39.1903301,5.6460305,3548,75,0
38.278,5.3938,1258,75,0
38.2891,5.3039,434,75,0
38.1394,6.3645,983,75,0
38.4116,5.779,240,75,0
38.1492,6.4255,1973,75,0
38.2974,5.3745,346,75,0
38.2699,5.4,2103,75,0
38.1954,5.5537,1800,75,0
39.2831,14.2818,1005,75,0
39.3423,14.2428,64,75,0
39.0738,5.7002,596,75,0
36.4271,11.0966,329,75,0
36.3013,11.2306,190,75,0
36.2472,11.2952,964,75,0
38.3350835,5.4934893,423,75,0
38.2335,5.6262,177,75,0
37.9419,5.4616,829,75,0
38.2338,5.6301,226,75,0
38.238,5.6528,309,75,0
38.2422,5.668,204,75,0
38.2438,5.6199,210,75,0
38.239,5.6514,192,75,0
38.2443,5.6291,394,75,0
38.0981,5.6501,967,75,0
38.2319,5.6441,332,75,0
38.2436,5.6669,253,75,0
39.088,5.6373,2756,75,0
38.2998,14.1111,1918,75,0
38.2817,14.1065,2246,75,0
38.2851,14.1014,17547,75,0
38.2779,14.0906,10107,75,0
38.2791,14.0995,2552,75,0
38,14.3222,125,75,0
38.2149,14.267,111,75,0
37.7747,14.3925,519,75,0
37.7805,14.3978,781,75,0
38.1836,13.9495,2746,75,0
39.3087,5.7785,948,75,0
39.6003,14.2108,167,75,0
38.7125,14.1223,1910,75,0
38.9708,14.0791,278,75,0
38.8786,14.2466,149,75,0
38.9035,14.2976,126,75,0
39.18,14.2969,229,75,0
38.9738,13.6369,1568,75,0
39.0058,13.6222,2367,75,0
38.9865441,13.6375573,116,75,0
38.9887,13.6396,3769,75,0
38.5919,13.3634,1008,75,0
38.2463,5.6591,385,75,0
38.2374,5.6464,312,75,0
38.2252,5.6607,209,75,0
38.2382,5.6228,276,75,0
38.2452,5.6246,199,75,0
38.1494,5.607,196,75,0
38.1893,5.6767,1165,75,0
38.3705,5.6189,289,75,0
39.302,5.7855,1146,75,0
39.389,5.5463,4869,75,0
39.4628,14.289,12945,75,0
37.066,9.1236,368,75,0
37.0603,9.1206,679,75,0
37.0563,9.1271,1669,75,0
37.0584,9.1252,686,75,0
37.0581,9.1292,510,75,0
37.0514,9.1346,795,75,0
37.0553,9.1233,764,75,0
37.0621,9.1178,609,75,0
37.068600000000004,9.125,130,75,0
37.0635,9.1255,130,75,0
37.8461,8.9818,2017,75,0
37.764,8.9757,485,75,0
37.758,8.9702,306,75,0
37.7611,8.9697,419,75,0
39.9283,5.4095,1171,75,0
38.838,14.0666,129,75,0
38.592,14.123,1402,75,0
38.67,13.9966,547,75,0
38.6669,14.2872,235,75,0
38.6908,14.2526,350,75,0
38.7378,14.125,5218,75,0
38.7353686,14.1269275,184,75,0
38.7517,14.1188,2234,75,0
39.0169,14.2386,294,75,0
39.0408,14.2055,136,75,0
39.0048,13.9822,321,75,0
38.9079,14.165,528,75,0
38.8871,14.1678,1823,75,0
39.4999,14.2282,207,75,0
38.9904,13.632,7423,75,0
38.9914,13.637,1677,75,0
38.9912,13.6303,1583,75,0
39.0012,13.622,3610,75,0
39.9867,13.6418,1641,75,0
38.9874,13.628,559,75,0
38.9981,13.6219,402,75,0
39.1225,13.6103,156,75,0
39.1018,13.6639,113,75,0
39.1533,13.6513,332,75,0
39.2084,13.6985,204,75,0
39.1761,13.6312,184,75,0
39.2002,13.6664,213,75,0
39.119,13.5854,481,75,0
39.1512,13.6479,131,75,0
39.2659,13.6815,366,75,0
39.1264,14.2772,197,75,0
39.7369,5.1096,591,75,0
39.3458,5.6758,3019,75,0
39.5151,12.5133,1492,75,0
39.5238,12.5033,711,75,0
39.5155,12.5044,852,75,0
39.3408,12.7624,271,75,0
39.3405,12.7579,189,75,0
39.7952,5.0515,1707,75,0
38.4454,13.9308,1187,75,0
38.1277,13.8214,1375,75,0
37.961,14.0949,8404,75,0
38.181,13.9452,3712,75,0
38.2788,14.1018,3372,75,0
38.2741,14.1039,6746,75,0
38.2792,14.0856,1418,75,0
38.2669,14.102,570,75,0
38.9637,14.287,264,75,0
39.09,14.2686,267,75,0
38.9755,14.3936,125,75,0
38.2723,14.1039,6652,75,0
38.2747,14.0955,8740,75,0
38.2819,14.1022,3761,75,0
37.4786,9.5096,320,75,0
40.1251,8.1407,453,75,0
37.364,9.5708,651,75,0
37.3907,9.383,235,75,0
40.0547,8.1617,667,75,0
37.1187,9.3675,1326,75,0
37.0798,9.6623,3969,75,0
37.3968,9.3743,234,75,0
37.4775,9.5088,165,75,0
38.1835,13.9468,2360,75,0
37.3611,9.5642,530,75,0
37.5402,8.9693,88,75,0
37.4517,9.0056,689,75,0
37.0792,9.6591,819,75,0
37.4141,9.3839,156,75,0
37.5378,9.6844,311,75,0
37.5416,8.9719,88,75,0
37.1024,9.5712,776,75,0
38.3789,9.3198,1337,75,0
37.5388,8.9698,90,75,0
37.1116,9.3667,1092,75,0
37.39,9.3867,222,75,0
38.381100000000004,9.3209,1187,75,0
37.5335,9.6837,384,75,0
39.7389,5.1151,1394,75,0
39.7741,5.161,1177,75,0
39.5987,13.8769,162,75,0
39.4253,13.8771,324,75,0
39.524,13.8482,156,75,0
39.4636,13.7592,41,75,0
39.5885,13.7795,42,75,0
39.5401,13.9456,69,75,0
39.5506,13.7541,82,75,0
39.6115,13.8198,38,75,0
39.586,13.8996,53,75,0
39.44,13.8574,67,75,0
34.6846,9.8465,102,75,0
