geo,lat,lon,type,n
158,-25.1150491,33.6703933,0,160
158,-23.9187737,35.4337249,0,447
158,-24.3480105,35.1727502,0,28
158,-17.7925111,33.2184434,0,138
158,-17.6042579,33.2525421,0,433
158,-19.1987257,33.4751062,0,201
158,-19.0569314,33.6424338,0,533
158,-19.5423635,33.8400485,0,823
158,-17.889426,33.9271623,0,785
158,-17.7097811,33.9723313,0,340
158,-19.1117419,33.4834718,0,153
158,-18.4279742,33.838447,0,60
158,-17.7293921,33.411214,0,567
158,-17.8423857,33.4562871,0,4125
158,-20.1985802,33.1955482,0,4300
158,-19.789331,33.3507378,0,3384
158,-19.9712761,33.379625,0,4566
158,-19.9159275,33.5938243,0,7459
158,-20.0702411,33.2633018,0,3732
158,-19.992658,33.4259566,0,2202
158,-19.5199102,33.1514111,0,632
158,-19.1116954,33.4834059,0,33
158,-19.1116739,33.4834498,0,27
158,-19.1116635,33.4834443,0,20
158,-16.12922,39.906285,0,20
158,-15.9871479,39.8647559,0,16
158,-15.1104148,39.2619602,0,8310
158,-13.9198834,39.9099591,0,206
158,-13.7181105,39.8265728,0,993
158,-15.022045,40.6703583,0,102
158,-15.6035632,39.9450237,0,46
158,-14.9574001,37.4095904,0,105
158,-14.9156522,39.9845863,0,6422
158,-14.663248,38.8912896,0,391
158,-13.7949919,40.2927567,0,37
158,-14.1873461,40.5257552,0,151
158,-14.0200583,40.3469717,0,38
158,-13.9316361,40.5923717,0,262
158,-14.1867818,40.5283111,0,305
158,-14.3321454,40.491764,0,16
158,-14.323868300000001,40.6203817,0,356
158,-15.5382441,40.3911083,0,139
158,-15.7099895,39.3373491,0,11
158,-14.7195886,40.3355397,0,60
158,-15.1172576,39.2623868,0,1067
158,-14.8581767,40.7625013,0,591
158,-14.9671134,40.6597711,0,250
158,-14.9424033,40.427185,0,777
158,-14.8874804,39.6333246,0,111
158,-15.4567208,38.6815577,0,14
158,-14.5529548,40.6931418,0,187
158,-14.634335,40.7806545,0,66
158,-14.5356537,40.677627,0,51
158,-14.5463677,40.7016622,0,410
158,-14.6036128,40.6801655,0,45
158,-14.5399858,40.6913904,0,108
158,-14.6641317,40.6932424,0,18
158,-14.6519678,40.6872691,0,8
158,-14.6529334,40.6812949,0,77
158,-14.5069458,40.6945905,0,73
158,-14.6230936,40.6853096,0,20
158,-14.4708038,40.6913401,0,114
158,-14.6762169,40.675988,0,34
158,-14.5220743,40.6970931,0,139
158,-14.5786786,40.6823648,0,255
158,-14.5086767,40.7933011,0,65
158,-14.5212627,40.6893284,0,177
158,-14.5589217,40.6849187,0,86
158,-14.5476097,40.6281342,0,245
158,-15.11638,39.2609892,0,143
158,-15.0314823,39.1224052,0,1383
158,-14.9426049,38.3211566,0,92
158,-13.3399143,35.4225125,0,19
158,-13.3217107,35.250308,0,237
158,-13.3353433,35.008845,0,29
158,-13.3228681,35.2635063,0,126
158,-13.316928,35.2637736,0,546
158,-14.7957032,36.5477216,0,21
158,-14.7967791,36.5537994,0,316
158,-13.3137561,35.2682356,0,124
158,-13.8717524,37.1605583,0,18
158,-12.5648083,36.25613,0,14
158,-13.3228024,35.2639497,0,3
158,-14.3339598,36.7964519,0,28
158,-13.0866737,35.6421213,0,11
158,-13.3172093,35.24356,0,19
158,-14.1327397,38.3073799,0,383
158,-14.1327948,38.3073747,0,402
158,-12.9413917,35.4277383,0,147
158,-19.9946451,34.4331292,0,2423
158,-19.9612088,34.4128334,0,5200
158,-19.9556026,34.4008085,0,1264
158,-20.0013136,34.6581713,0,3109
158,-19.962799,34.3406429,0,1592
158,-19.7309172,34.8084243,0,1550
158,-19.8671799,34.463665,0,1255
158,-19.8642517,34.4340275,0,775
158,-19.7297144,34.8153262,0,9315
158,-19.913552,34.291815,0,856
158,-19.8661934,34.4799482,0,207
158,-19.7359357,34.8114059,0,280
158,-19.977779,34.1443281,0,1893
158,-19.984403,34.1581765,0,1380
158,-19.9640068,34.3031564,0,2869
158,-19.9473347,34.071834,0,940
158,-18.0987424,34.9671729,0,1413
158,-17.657382900000002,35.1147451,0,3368
158,-17.6247887,35.1266612,0,1055
158,-17.5713185,35.0937248,0,1266
158,-17.5901379,35.1082708,0,937
158,-19.6487615,33.8811689,0,2750
158,-19.8852625,34.0429173,0,2826
158,-19.8719851,33.8941985,0,1575
158,-19.8401872,33.9229069,0,3045
158,-19.938857,34.0328757,0,1500
158,-19.9668979,33.5473124,0,915
158,-19.643831,34.7259453,0,3999
158,-19.4072191,34.7061043,0,436
158,-19.5637733,34.6297416,0,242
158,-19.4661518,34.6041961,0,3200
158,-18.984622,34.101952,0,356
158,-18.606573,33.872324,0,1169
158,-18.491471,34.411324,0,131
158,-18.287773,34.761455,0,2202
158,-18.1794513,35.7302799,0,1734
158,-19.2515954,34.2036011,0,1081
158,-19.177752,34.2187866,0,3426
158,-19.3690262,34.4073491,0,1325
158,-19.3497519,34.3735067,0,3221
158,-16.1157874,33.5740011,0,4915
158,-17.1694396,35.1858072,0,415
158,-17.4389903,35.2470942,0,664
158,-16.927054300000002,34.8479398,0,1345
158,-15.6428628,37.6960637,0,1
158,-15.6434781,37.6793032,0,4
158,-15.6468189,37.6865719,0,10
158,-15.6527224,37.6720634,0,7
158,-15.6418325,37.698215,0,9
158,-15.4690849,36.9719065,0,31
158,-17.2862091,37.5192378,0,970
158,-17.409365,37.3483583,0,3428
158,-17.3123388,37.5071651,0,1155
158,-16.1042007,35.7688349,0,109
158,-16.8826711,36.9655826,0,112
158,-17.4909128,37.2122472,0,796
158,-17.4740696,37.1798371,0,266
158,-17.4580333,37.2018133,0,691
158,-17.4779843,37.0043703,0,739
158,-17.6530167,37.2484293,0,2733
158,-17.556629,36.6985943,0,73
